  36.4675  12.8263
  36.3990  12.8805
  35.2734  13.0752
  34.4133  12.9923
  33.6425  12.7076
  33.0043  12.1251
  32.7134  11.5066
  32.4245  10.5600
  32.1417   9.6784
  32.0605   8.6298
  31.7747   6.9679
  31.2765   6.0214
  30.6603   5.6125
  29.9487   5.4142
  29.1163   5.2531
  28.1141   4.9740
  27.2936   4.6303
  26.2300   3.9834
  25.7439   3.6267
  25.2074   3.4479
  24.4854   3.4732
  24.0989   3.5571
  23.7432   3.7737
  23.0496   4.1237
  22.3933   4.6525
  21.6428   5.0786
  21.0396   5.6980
  20.3673   6.3604
  19.9968   7.2489
  19.6823   8.2053
  19.3032   9.1752
  18.8641  10.0469
  18.3744  10.4074
  17.9545  10.2852
  17.2545   9.4822
  16.6489   8.6376
  16.0270   8.0201
  15.4341   7.8614
  14.7916   7.9167
  14.0858   8.0978
  13.0369   8.5047
  12.5092   8.6813
  12.1141   9.2987
  11.6713  10.1955
  11.1806  11.0043
  10.4692  11.5313
   9.8370  11.5512
   8.9654  11.2594
   8.0894  10.7046
   7.2471  10.7102
   6.2358  11.2715
   5.6570  11.4256
   5.1452  11.2828
   4.3537  10.5681
   3.8420   9.8424
   3.0585   9.4541
   2.0769   9.5819
   0.8601   9.7478
